player_id,install_date,attribution_channel,country,device_type,tutorial_completed,experiment_variant,player_segment,lifetime_value
P000065,2024-01-26,tiktok,US,Android,False,variant_b,minnow,3.6281068892707493
P000066,2024-02-22,tiktok,JP,iOS,True,control,minnow,3.837222906107326
P000067,2024-01-02,organic,US,Android,True,control,non_payer,0.0
P000068,2024-01-20,organic,IN,Android,True,control,non_payer,0.0
P000069,2024-01-28,unity_ads,US,iOS,True,variant_b,non_payer,0.0
P000070,2024-02-16,tiktok,FR,iOS,True,variant_a,non_payer,0.0
P000071,2024-02-29,facebook,US,Android,False,control,non_payer,0.0
P000072,2024-01-07,organic,UK,iOS,True,control,non_payer,0.0
P000073,2024-02-13,facebook,UK,Android,True,control,dolphin,94.75998232092137
P000074,2024-01-08,google,FR,iOS,True,variant_b,minnow,3.2952839518851995
P000075,2024-02-16,organic,AU,iOS,True,variant_a,dolphin,47.65946084318115
P000076,2024-02-04,google,BR,Android,True,,dolphin,58.86940962259844
P000077,2024-01-14,organic,UK,iOS,True,variant_b,non_payer,0.0
P000078,2024-01-17,organic,DE,Android,True,variant_b,non_payer,0.0
P000079,2024-02-05,facebook,FR,iOS,False,control,minnow,8.78684879869629
P000080,2024-02-19,facebook,US,iOS,True,control,non_payer,0.0
P000081,2024-02-09,organic,UK,Android,True,variant_a,non_payer,0.0
P000082,2024-01-04,facebook,CA,Android,True,variant_a,non_payer,0.0
P000083,2024-01-02,organic,UK,Android,True,variant_a,non_payer,0.0
P000084,2024-01-06,organic,UK,Android,False,control,non_payer,0.0
P000085,2024-02-23,organic,DE,Android,True,,non_payer,0.0
P000086,2024-02-11,apple_search,US,Android,True,control,non_payer,0.0
P000087,2024-01-04,facebook,FR,iOS,True,control,non_payer,0.0
P000088,2024-02-23,facebook,IN,Android,False,variant_b,non_payer,0.0
P000089,2024-01-29,facebook,AU,iOS,True,control,non_payer,0.0
P000090,2024-01-18,apple_search,AU,iOS,True,control,non_payer,0.0
P000091,2024-01-26,organic,US,iOS,True,control,non_payer,0.0
P000092,2024-02-13,google,BR,iOS,True,control,non_payer,0.0
P000093,2024-02-03,google,US,Android,True,control,dolphin,88.64681147232987
P000094,2024-01-10,google,AU,iOS,False,control,non_payer,0.0
P000095,2024-02-05,organic,MX,iOS,True,variant_a,non_payer,0.0
P000096,2024-01-14,google,AU,Android,False,variant_a,non_payer,0.0
P000097,2024-01-31,organic,FR,iOS,True,variant_a,minnow,2.580373808148136
P000098,2024-02-17,facebook,UK,Android,True,variant_b,non_payer,0.0
P000099,2024-01-15,google,US,iOS,False,control,non_payer,0.0
P000100,2024-01-08,organic,JP,iOS,True,control,non_payer,0.0
P000101,2024-01-14,unity_ads,US,iOS,True,variant_b,non_payer,0.0
P000102,2024-01-23,organic,FR,iOS,False,variant_b,non_payer,0.0
P000103,2024-02-29,unity_ads,US,Android,False,control,non_payer,0.0
P000104,2024-02-26,facebook,BR,Android,False,,non_payer,0.0
P000105,2024-02-09,organic,US,iOS,False,variant_b,non_payer,0.0
P000106,2024-01-21,organic,CA,iOS,True,control,non_payer,0.0
P000107,2024-01-16,tiktok,AU,iOS,True,,minnow,2.512187504284836
P000108,2024-02-14,organic,CA,Android,True,variant_a,non_payer,0.0
P000109,2024-01-18,organic,UK,iOS,False,,dolphin,45.31277199072852
P000110,2024-02-16,organic,CA,Android,True,control,non_payer,0.0
P000111,2024-02-22,google,UK,Android,True,control,non_payer,0.0
P000112,2024-01-24,facebook,UK,iOS,True,variant_b,non_payer,0.0
P000113,2024-01-26,organic,UK,Android,True,control,minnow,6.784820405329421
P000114,2024-01-25,organic,AU,Android,True,control,non_payer,0.0
P000115,2024-02-29,organic,US,Android,True,variant_b,minnow,6.232859267520956
P000116,2024-02-29,organic,MX,iOS,True,control,non_payer,0.0
P000117,2024-02-29,facebook,CA,Android,True,,non_payer,0.0
P000118,2024-02-14,google,US,iOS,True,variant_a,non_payer,0.0
P000119,2024-02-10,organic,CA,iOS,True,variant_b,non_payer,0.0
P000120,2024-01-29,facebook,BR,Android,True,variant_a,non_payer,0.0
P000121,2024-01-15,facebook,US,Android,True,variant_a,non_payer,0.0
P000122,2024-02-14,apple_search,DE,iOS,True,variant_a,non_payer,0.0
P000123,2024-01-01,tiktok,CA,Android,True,variant_b,non_payer,0.0
P000124,2024-01-25,unity_ads,US,Android,True,variant_a,non_payer,0.0
P000125,2024-01-07,organic,JP,iOS,True,control,non_payer,0.0
P000126,2024-01-09,organic,UK,iOS,False,control,dolphin,51.35214447749041
P000127,2024-01-24,organic,US,iOS,False,control,non_payer,0.0
P000128,2024-01-01,organic,JP,Android,False,variant_a,non_payer,0.0
P000129,2024-02-13,facebook,DE,Android,True,variant_b,dolphin,88.11640008620122
P000130,2024-01-08,google,BR,iOS,True,control,non_payer,0.0
P000131,2024-01-24,unity_ads,AU,Android,True,control,non_payer,0.0
P000132,2024-01-11,unity_ads,FR,Android,True,,minnow,12.713356475743538
P000133,2024-02-20,facebook,JP,Android,True,variant_b,non_payer,0.0
P000134,2024-01-17,google,US,iOS,True,,non_payer,0.0
P000135,2024-01-08,organic,JP,Android,True,,non_payer,0.0
P000136,2024-02-04,organic,AU,Android,True,control,minnow,12.277018278997927
P000137,2024-02-04,google,US,iOS,True,,non_payer,0.0
P000138,2024-02-02,organic,CA,iOS,False,control,non_payer,0.0
P000139,2024-02-28,facebook,US,Android,True,,minnow,11.573929348991234
P000140,2024-01-05,organic,FR,iOS,True,variant_a,minnow,1.56544970863199
P000141,2024-02-11,google,CA,Android,False,variant_a,non_payer,0.0
P000142,2024-02-08,google,IN,iOS,True,variant_b,non_payer,0.0
P000143,2024-02-27,organic,US,iOS,True,variant_b,non_payer,0.0
P000144,2024-02-10,unity_ads,AU,iOS,True,variant_b,minnow,3.0914278381627707
P000145,2024-01-28,organic,US,iOS,True,variant_a,minnow,11.250697008145474
P000146,2024-01-07,facebook,AU,iOS,True,control,minnow,9.327814926605669
P000147,2024-01-09,google,FR,Android,False,variant_b,non_payer,0.0
P000148,2024-01-08,google,FR,iOS,True,control,non_payer,0.0
P000149,2024-01-12,apple_search,JP,Android,False,variant_b,dolphin,73.91556623145834
P000150,2024-02-03,organic,JP,Android,True,variant_a,minnow,11.03703940286812
P000151,2024-02-02,google,US,Android,True,variant_a,non_payer,0.0
P000152,2024-02-17,google,UK,iOS,False,variant_b,non_payer,0.0
P000153,2024-02-24,tiktok,DE,Android,True,variant_b,non_payer,0.0
P000154,2024-01-23,organic,CA,Android,False,,dolphin,92.90917677738805
P000155,2024-01-24,google,US,iOS,True,control,non_payer,0.0
P000156,2024-02-06,facebook,AU,Android,True,,non_payer,0.0
P000157,2024-02-04,organic,UK,iOS,True,,non_payer,0.0
P000158,2024-02-13,facebook,UK,iOS,True,variant_b,non_payer,0.0
P000159,2024-02-09,organic,JP,Android,False,variant_b,whale,708.1143562365448
P000160,2024-01-22,facebook,UK,Android,True,variant_b,non_payer,0.0
P000161,2024-01-27,unity_ads,US,iOS,True,control,non_payer,0.0
P000162,2024-02-04,facebook,US,Android,True,variant_a,dolphin,42.04539429404483
P000163,2024-01-01,google,JP,Android,True,variant_b,non_payer,0.0
P000164,2024-02-04,facebook,MX,Android,True,,non_payer,0.0
P000165,2024-02-06,organic,DE,iOS,True,variant_a,minnow,2.16222311830105
P000166,2024-02-16,organic,UK,Android,False,variant_b,non_payer,0.0
P000167,2024-01-14,facebook,IN,iOS,True,variant_b,non_payer,0.0
P000168,2024-01-03,organic,DE,Android,True,control,non_payer,0.0
P000169,2024-01-01,organic,JP,iOS,True,control,non_payer,0.0
P000170,2024-01-05,facebook,JP,Android,False,variant_b,dolphin,54.5667783270223
P000171,2024-01-26,organic,UK,iOS,True,control,minnow,10.937893916231214
P000172,2024-02-24,organic,CA,iOS,True,control,non_payer,0.0
P000173,2024-01-14,facebook,US,Android,True,variant_b,non_payer,0.0
P000174,2024-02-08,organic,US,iOS,True,variant_b,non_payer,0.0
P000175,2024-01-27,tiktok,JP,iOS,True,variant_a,non_payer,0.0
P000176,2024-01-09,unity_ads,BR,Android,True,variant_b,non_payer,0.0
P000177,2024-01-15,google,FR,Android,True,control,non_payer,0.0
P000178,2024-01-15,organic,CA,iOS,True,control,non_payer,0.0
P000179,2024-01-26,google,US,iOS,False,variant_b,whale,425.52112058896955
P000180,2024-02-11,unity_ads,US,Android,True,variant_b,non_payer,0.0
P000181,2024-02-29,google,UK,Android,False,variant_a,non_payer,0.0
P000182,2024-01-13,organic,CA,iOS,True,control,non_payer,0.0
P000183,2024-02-20,google,AU,Android,False,variant_b,non_payer,0.0
P000184,2024-02-01,unity_ads,US,Android,True,variant_b,non_payer,0.0
P000185,2024-02-08,facebook,MX,iOS,True,control,non_payer,0.0
P000186,2024-02-18,google,UK,iOS,False,control,non_payer,0.0
P000187,2024-02-21,facebook,JP,iOS,True,variant_a,non_payer,0.0
P000188,2024-02-01,facebook,CA,Android,True,control,non_payer,0.0
P000189,2024-01-04,organic,US,iOS,True,variant_a,non_payer,0.0
P000190,2024-01-30,google,JP,iOS,False,control,non_payer,0.0
P000191,2024-02-06,organic,FR,Android,True,control,non_payer,0.0
P000192,2024-01-23,facebook,CA,iOS,True,variant_a,non_payer,0.0
P000193,2024-02-08,organic,CA,Android,True,control,non_payer,0.0
P000194,2024-02-14,facebook,US,iOS,False,control,dolphin,29.606345257977704
P000195,2024-01-15,organic,DE,Android,True,variant_b,non_payer,0.0
P000196,2024-02-12,google,IN,iOS,False,control,non_payer,0.0
P000197,2024-01-29,google,US,iOS,True,variant_b,non_payer,0.0
P000198,2024-02-05,organic,US,Android,True,variant_b,dolphin,99.89939283743827
P000199,2024-01-13,organic,BR,Android,True,control,non_payer,0.0
P000200,2024-02-01,organic,US,Android,True,control,whale,535.0994922088385
P000201,2024-01-07,unity_ads,DE,Android,True,variant_b,non_payer,0.0
P000202,2024-02-28,facebook,CA,Android,True,variant_a,dolphin,37.305183318043014
P000203,2024-02-20,facebook,AU,Android,True,variant_a,non_payer,0.0
P000204,2024-01-22,organic,UK,Android,True,variant_b,non_payer,0.0
P000205,2024-01-28,google,US,Android,True,control,non_payer,0.0
P000206,2024-01-02,unity_ads,US,Android,True,variant_b,minnow,3.30378314306248
P000207,2024-02-11,unity_ads,FR,Android,False,,minnow,13.078953318593163
P000208,2024-02-14,google,FR,iOS,True,control,minnow,12.474454295665392
P000209,2024-02-26,organic,DE,iOS,True,control,non_payer,0.0
P000210,2024-02-22,organic,DE,iOS,False,variant_a,minnow,9.586488246878522
P000211,2024-01-06,organic,US,Android,True,,dolphin,63.7748408863255
P000212,2024-01-28,organic,US,Android,False,control,non_payer,0.0
P000213,2024-01-28,organic,JP,Android,True,variant_a,non_payer,0.0
P000214,2024-02-13,organic,CA,iOS,True,control,non_payer,0.0
P000215,2024-02-13,facebook,UK,iOS,True,variant_a,non_payer,0.0
P000216,2024-01-20,tiktok,US,Android,True,control,non_payer,0.0
P000217,2024-01-30,google,US,Android,True,variant_a,non_payer,0.0
P000218,2024-01-11,unity_ads,UK,iOS,True,variant_a,non_payer,0.0
P000219,2024-02-27,google,JP,Android,False,,non_payer,0.0
P000220,2024-02-24,organic,IN,iOS,True,variant_b,non_payer,0.0
P000221,2024-01-28,google,BR,iOS,True,variant_b,non_payer,0.0
P000222,2024-01-25,organic,IN,Android,True,control,non_payer,0.0
P000223,2024-02-08,google,BR,Android,False,control,non_payer,0.0
P000224,2024-02-02,organic,CA,Android,True,variant_b,non_payer,0.0
P000225,2024-01-01,apple_search,US,iOS,True,variant_a,non_payer,0.0
P000226,2024-02-26,organic,JP,iOS,False,variant_a,non_payer,0.0
P000227,2024-01-27,organic,US,iOS,False,control,dolphin,96.1151203830673
P000228,2024-02-26,tiktok,US,iOS,True,variant_a,non_payer,0.0
P000229,2024-02-21,organic,US,Android,False,control,non_payer,0.0
P000230,2024-01-13,google,CA,iOS,True,variant_a,non_payer,0.0
P000231,2024-02-10,google,UK,iOS,False,control,non_payer,0.0
P000232,2024-01-03,unity_ads,US,iOS,True,variant_b,non_payer,0.0
P000233,2024-02-08,apple_search,CA,Android,False,control,non_payer,0.0
P000234,2024-01-06,apple_search,BR,Android,False,,non_payer,0.0
P000235,2024-01-08,organic,AU,Android,True,variant_b,non_payer,0.0
P000236,2024-01-27,unity_ads,BR,iOS,True,variant_b,non_payer,0.0
P000237,2024-01-09,google,US,iOS,True,,minnow,4.195746727008296
P000238,2024-02-06,google,US,iOS,True,control,non_payer,0.0
P000239,2024-02-02,organic,AU,iOS,True,variant_b,non_payer,0.0
P000240,2024-02-20,google,CA,iOS,False,variant_b,non_payer,0.0
P000241,2024-02-11,apple_search,DE,iOS,True,control,non_payer,0.0
P000242,2024-02-13,tiktok,JP,Android,True,variant_a,non_payer,0.0
P000243,2024-01-24,facebook,FR,Android,True,variant_a,non_payer,0.0
P000244,2024-01-15,organic,IN,iOS,True,variant_a,non_payer,0.0
P000245,2024-02-28,facebook,UK,Android,True,,non_payer,0.0
P000246,2024-02-23,unity_ads,US,iOS,True,variant_a,non_payer,0.0
P000247,2024-02-01,google,AU,Android,False,control,non_payer,0.0
P000248,2024-02-01,facebook,US,Android,False,,non_payer,0.0
P000249,2024-01-24,organic,US,Android,False,control,non_payer,0.0
P000250,2024-02-10,facebook,US,iOS,False,variant_b,dolphin,53.231487677214524
P000251,2024-02-21,facebook,UK,iOS,True,,minnow,1.3453100254996788
P000252,2024-02-18,tiktok,US,iOS,True,variant_b,minnow,6.860256740328115
P000253,2024-02-18,google,US,iOS,True,variant_b,minnow,6.379031283229691
P000254,2024-02-27,organic,DE,Android,True,variant_b,dolphin,95.95945915120865
P000255,2024-02-21,facebook,AU,Android,True,variant_b,minnow,6.0152540975163244
P000256,2024-01-12,organic,FR,Android,True,variant_a,non_payer,0.0
P000257,2024-02-08,apple_search,DE,Android,True,control,minnow,12.687049630859079
P000258,2024-01-02,facebook,US,Android,True,control,non_payer,0.0
P000259,2024-01-03,facebook,US,iOS,True,variant_b,non_payer,0.0
P000260,2024-02-18,facebook,US,iOS,True,variant_b,minnow,11.732311233206
P000261,2024-02-06,google,JP,Android,True,variant_a,non_payer,0.0
P000262,2024-02-18,google,FR,iOS,True,variant_b,minnow,3.061808699761811
P000263,2024-02-25,google,US,iOS,False,variant_b,dolphin,97.01737783242368
P000264,2024-01-17,organic,UK,iOS,True,variant_b,non_payer,0.0
P000265,2024-02-28,organic,MX,Android,True,control,non_payer,0.0
P000266,2024-02-18,organic,AU,Android,True,variant_a,non_payer,0.0
P000267,2024-01-02,google,JP,iOS,False,control,non_payer,0.0
P000268,2024-01-02,organic,US,Android,True,variant_a,minnow,9.83352050241564
P000269,2024-01-28,facebook,US,Android,True,control,non_payer,0.0
P000270,2024-02-23,unity_ads,JP,Android,True,variant_b,non_payer,0.0
P000271,2024-01-23,unity_ads,DE,Android,True,control,non_payer,0.0
P000272,2024-02-06,facebook,DE,Android,True,control,minnow,9.351707382172052
P000273,2024-02-01,facebook,AU,Android,False,variant_b,non_payer,0.0
P000274,2024-02-02,organic,AU,iOS,True,control,minnow,1.1638762172963968
P000275,2024-01-01,google,FR,iOS,True,variant_b,minnow,10.788951111009382
P000276,2024-01-19,unity_ads,US,Android,True,,non_payer,0.0
P000277,2024-01-02,organic,UK,iOS,True,variant_b,minnow,1.7788041020467362
P000278,2024-02-22,facebook,BR,iOS,False,variant_b,non_payer,0.0
P000279,2024-02-13,unity_ads,UK,Android,False,variant_b,non_payer,0.0
P000280,2024-01-26,unity_ads,CA,iOS,True,control,minnow,3.595331365902174
P000281,2024-02-01,organic,FR,iOS,True,variant_a,minnow,2.3806937562214308
P000282,2024-01-06,facebook,MX,Android,False,variant_a,non_payer,0.0
P000283,2024-02-01,organic,UK,Android,True,control,non_payer,0.0
P000284,2024-02-24,organic,UK,Android,True,control,non_payer,0.0
P000285,2024-01-04,tiktok,JP,Android,False,variant_a,non_payer,0.0
P000286,2024-02-24,unity_ads,JP,Android,True,variant_b,whale,502.56473843872806
P000287,2024-01-11,google,FR,iOS,True,variant_b,whale,836.5692017062945
P000288,2024-02-25,organic,CA,iOS,True,variant_a,minnow,10.903341644370807
P000289,2024-02-28,unity_ads,UK,iOS,False,variant_a,non_payer,0.0
P000290,2024-01-17,facebook,AU,Android,True,variant_b,non_payer,0.0
P000291,2024-02-07,organic,BR,Android,True,variant_b,minnow,2.493732006309173
P000292,2024-01-24,facebook,BR,Android,False,control,dolphin,83.87689542271048
P000293,2024-01-05,organic,US,Android,False,control,non_payer,0.0
P000294,2024-02-21,google,UK,iOS,True,variant_a,non_payer,0.0
P000295,2024-02-03,facebook,CA,Android,True,variant_a,non_payer,0.0
P000296,2024-01-06,organic,MX,iOS,True,variant_b,minnow,7.451859967092413
P000297,2024-01-22,organic,DE,iOS,True,variant_a,non_payer,0.0
P000298,2024-01-11,organic,UK,Android,True,control,non_payer,0.0
P000299,2024-02-17,organic,US,Android,False,control,non_payer,0.0
P000300,2024-01-16,facebook,AU,Android,True,,non_payer,0.0
P000301,2024-02-02,unity_ads,US,Android,True,control,minnow,1.4568308904326739
P000302,2024-01-09,organic,JP,iOS,True,control,minnow,4.1335704436853495
P000303,2024-02-29,organic,FR,iOS,True,variant_b,non_payer,0.0
P000304,2024-02-28,facebook,CA,iOS,True,variant_b,non_payer,0.0
P000305,2024-01-06,unity_ads,UK,iOS,False,variant_b,non_payer,0.0
P000306,2024-01-16,organic,BR,iOS,True,variant_a,dolphin,82.81484223742407
P000307,2024-01-29,organic,US,Android,True,,non_payer,0.0
P000308,2024-01-03,facebook,US,Android,True,control,non_payer,0.0
P000309,2024-01-20,organic,IN,Android,True,variant_a,non_payer,0.0
P000310,2024-02-29,organic,JP,Android,True,variant_a,non_payer,0.0
P000311,2024-02-28,google,JP,iOS,True,control,non_payer,0.0
P000312,2024-02-05,google,US,Android,True,variant_a,non_payer,0.0
P000313,2024-01-19,facebook,US,Android,True,variant_b,dolphin,78.66397911384976
P000314,2024-01-26,google,US,Android,True,variant_a,non_payer,0.0
P000315,2024-01-03,google,US,Android,True,variant_b,dolphin,35.06808985167142
P000316,2024-01-19,organic,JP,iOS,True,variant_b,non_payer,0.0
P000317,2024-01-20,facebook,US,Android,True,variant_b,non_payer,0.0
P000318,2024-02-01,organic,FR,Android,True,variant_b,non_payer,0.0
P000319,2024-01-07,organic,US,Android,False,variant_b,non_payer,0.0
P000320,2024-02-21,google,UK,Android,True,variant_b,dolphin,23.039925190217954
P000321,2024-02-10,unity_ads,MX,Android,True,variant_b,non_payer,0.0
P000322,2024-02-02,tiktok,US,iOS,True,variant_a,non_payer,0.0
P000323,2024-02-09,google,UK,iOS,True,variant_a,non_payer,0.0
P000324,2024-02-08,organic,UK,iOS,False,control,non_payer,0.0
P000325,2024-01-18,organic,US,iOS,True,variant_b,non_payer,0.0
P000326,2024-02-09,unity_ads,CA,Android,True,variant_a,non_payer,0.0
P000327,2024-01-01,facebook,UK,iOS,True,variant_a,non_payer,0.0
P000328,2024-01-11,google,DE,Android,True,control,minnow,5.132827215802484
P000329,2024-01-28,google,JP,Android,True,variant_b,non_payer,0.0
P000330,2024-02-26,google,CA,iOS,True,,non_payer,0.0
P000331,2024-01-25,unity_ads,US,Android,True,variant_b,non_payer,0.0
P000332,2024-02-19,organic,AU,Android,False,variant_b,whale,835.941517756934
P000333,2024-01-23,google,US,Android,True,variant_a,dolphin,95.07123856190259
P000334,2024-01-31,unity_ads,AU,Android,True,variant_a,non_payer,0.0
P000335,2024-01-30,organic,DE,iOS,True,control,non_payer,0.0
P000336,2024-02-11,google,US,Android,False,variant_a,non_payer,0.0
P000337,2024-02-04,organic,JP,Android,True,variant_a,non_payer,0.0
P000338,2024-01-07,tiktok,IN,Android,True,,non_payer,0.0
P000339,2024-02-29,organic,JP,Android,True,variant_a,non_payer,0.0
P000340,2024-01-16,facebook,UK,iOS,True,variant_a,minnow,9.020398888999782
P000341,2024-01-26,organic,AU,iOS,True,,non_payer,0.0
P000342,2024-02-17,google,IN,Android,True,variant_a,whale,272.88308397558933
P000343,2024-02-26,organic,UK,Android,True,control,non_payer,0.0
P000344,2024-02-21,organic,JP,iOS,False,variant_a,non_payer,0.0
P000345,2024-02-29,facebook,US,iOS,True,variant_a,non_payer,0.0
P000346,2024-02-18,tiktok,US,iOS,True,variant_b,dolphin,60.16689241448876
P000347,2024-01-02,organic,FR,iOS,True,control,non_payer,0.0
P000348,2024-01-01,organic,JP,iOS,True,variant_b,minnow,14.983079210649551
P000349,2024-02-17,google,JP,iOS,True,variant_b,non_payer,0.0
P000350,2024-01-12,facebook,IN,Android,True,variant_a,non_payer,0.0
P000351,2024-01-05,tiktok,US,iOS,True,control,minnow,14.141366174876715
P000352,2024-02-06,organic,US,iOS,True,variant_b,non_payer,0.0
P000353,2024-02-01,google,BR,iOS,True,variant_a,non_payer,0.0
P000354,2024-02-28,organic,US,Android,True,variant_a,non_payer,0.0
P000355,2024-02-24,organic,DE,Android,True,variant_b,non_payer,0.0
P000356,2024-01-09,google,CA,Android,True,variant_a,non_payer,0.0
P000357,2024-02-10,facebook,US,Android,True,,non_payer,0.0
P000358,2024-02-04,google,US,iOS,True,variant_a,non_payer,0.0
P000359,2024-01-19,organic,CA,iOS,True,variant_a,minnow,14.904954054621776
P000360,2024-02-17,facebook,JP,Android,True,variant_b,non_payer,0.0
P000361,2024-01-16,facebook,FR,Android,False,control,dolphin,75.95317685745704
P000362,2024-01-03,apple_search,AU,Android,False,control,minnow,6.9652399042801605
P000363,2024-01-20,organic,CA,Android,False,,minnow,13.503813841322113
P000364,2024-01-24,organic,US,Android,True,control,dolphin,91.61443704357558
P000365,2024-02-23,facebook,US,iOS,True,control,minnow,3.0211076625052717
P000366,2024-02-25,facebook,UK,Android,True,variant_a,minnow,11.855401995362778
P000367,2024-02-02,organic,US,Android,True,control,non_payer,0.0
P000368,2024-01-24,tiktok,US,iOS,True,variant_b,minnow,13.870333272345784
P000369,2024-02-21,organic,UK,Android,True,variant_a,non_payer,0.0
P000370,2024-01-11,unity_ads,UK,Android,True,variant_b,non_payer,0.0
P000371,2024-02-18,organic,US,iOS,True,control,non_payer,0.0
P000372,2024-01-08,google,AU,iOS,False,,non_payer,0.0
P000373,2024-02-05,tiktok,CA,iOS,True,control,non_payer,0.0
P000374,2024-02-07,organic,US,iOS,True,variant_b,non_payer,0.0
P000375,2024-02-09,tiktok,IN,iOS,True,,dolphin,91.88157415030341
P000376,2024-01-20,facebook,US,iOS,False,variant_a,non_payer,0.0
P000377,2024-02-04,tiktok,JP,iOS,True,control,non_payer,0.0
P000378,2024-02-17,google,US,iOS,True,control,non_payer,0.0
P000379,2024-01-25,organic,BR,Android,True,,non_payer,0.0
P000380,2024-02-04,organic,US,iOS,True,variant_b,non_payer,0.0
P000381,2024-01-25,organic,FR,iOS,True,,minnow,10.895670643951904
P000382,2024-01-29,organic,UK,iOS,False,variant_b,non_payer,0.0
P000383,2024-01-18,organic,FR,Android,True,variant_a,non_payer,0.0
